license_number,provider_name,doing_business_as,license_type,status,address,city,state,zip,county
,,,Home and Community Based Services - Community Residential Setting,Active,,Minneapolis,MN,55419-5220,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Minneapolis,MN,55419-1712,Hennepin
,,,Intensive Residential Treatment Services and Residential Crisis Stabilization,Active,,Minneapolis,MN,55419-2222,Hennepin
,,,Certified Child Care Center,Active,,Minneapolis,MN,55419-1171,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Minneapolis,MN,55419-2560,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Minneapolis,MN,55419-0000,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55419-5535,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55419-4736,Hennepin
,,,Adult Foster Care,Active,,Minneapolis,MN,55419-2568,Hennepin
,,,Family Child Care,Active,,Minneapolis,MN,55419-5018,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Minneapolis,MN,55419-2214,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Minneapolis,MN,55419-2027,Hennepin
,,,Home and Community Based Services,Active,,Bloomington,MN,55420-2717,Hennepin
,,,Home and Community Based Services,Active,,Bloomington,MN,55420-3617,Hennepin
,,,Home and Community Based Services,Active,,Bloomington,MN,55420-2219,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Bloomington,MN,55420-3823,Hennepin
,,,Home and Community Based Services,Active,,Bloomington,MN,55420-1003,Hennepin
,,,Home and Community Based Services,Active,,Bloomington,MN,55420-3487,Hennepin
,,,Home and Community Based Services,Active,,Bloomington,MN,55420-5644,Hennepin
,,,Home and Community Based Services,Active,,Bloomington,MN,55420-5690,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Bloomington,MN,55420-4821,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Bloomington,MN,55420-2412,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Bloomington,MN,55420-2112,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Bloomington,MN,55420-1053,Hennepin
,,,Family Child Care,Active,,Bloomington,MN,55420-3739,Hennepin
,,,Home and Community Based Services,Active,,Bloomington,MN,55420-2754,Hennepin
,,,Family Child Care,Active,,Bloomington,MN,55420-4702,Hennepin
,,,Home and Community Based Services,Active,,Bloomington,MN,55420-4866,Hennepin
,,,Adult Foster Care,Active,,Bloomington,MN,55420-4311,Hennepin
,,,Child Care Center,Active,,Bloomington,MN,55420-1206,Hennepin
,,,Family Child Care,Active,,Bloomington,MN,55420-5204,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Bloomington,MN,55420-0000,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Bloomington,MN,55420-5127,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Bloomington,MN,55420-4110,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55420-5698,Hennepin
,,,Home and Community Based Services,Active,,Bloomington,MN,55420-3818,Hennepin
,,,Family Child Care,Active,,Bloomington,MN,55420-4563,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Bloomington,MN,55420-2640,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Minneapolis,MN,55420-5550,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Bloomington,MN,55420-3838,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Bloomington,MN,55420-4512,Hennepin
,,,Family Child Care,Active,,Minneapolis,MN,55420-2239,Hennepin
,,,Certified Child Care Center,Active,,Bloomington,MN,55420,Hennepin
,,,Home and Community Based Services,Active,,Bloomington,MN,55420-1304,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Bloomington,MN,55420-5003,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Bloomington,MN,55420-3831,Hennepin
,,,Family Child Care,Active,,Bloomington,MN,55420-2476,Hennepin
,,,Certified Child Care Center,Active,,Bloomington,MN,55420-2919,Hennepin
,,,Family Child Care,Active,,Bloomington,MN,55420-5409,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Bloomington,MN,55420-2228,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Bloomington,MN,55420-3030,Hennepin
,,,Family Child Care,Active,,Bloomington,MN,55420-3925,Hennepin
,,,Child Foster Residence Setting,Active,,Bloomington,MN,55420-4907,Hennepin
,,,Family Child Care,Active,,Bloomington,MN,55420-1327,Hennepin
,,,Child Care Center,Closed as of 08/02/2025,,Bloomington,MN,55420-4213,Hennepin
,,,Home and Community Based Services - Day Services Facility,Active,,Bloomington,MN,55420-3517,Hennepin
,,,Child Care Center,Active,,Bloomington,MN,55420-2709,Hennepin
,,,Child Care Center,Active,,Bloomington,MN,55420-1231,Hennepin
,,,Home and Community Based Services,Active,,Bloomington,MN,55420-2745,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55420-5305,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Bloomington,MN,55420-5007,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Bloomington,MN,55420-4406,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Bloomington,MN,55420-3812,Hennepin
,,,Family Child Care,Active,,Bloomington,MN,55420-2401,Hennepin
,,,Family Child Care,Active,,Bloomington,MN,55420-5210,Hennepin
,,,Family Child Care,Active,,Bloomington,MN,55420-5261,Hennepin
,,,Child Care Center,Pending Reopening as of 08/15/2025,,Bloomington,MN,55420-4417,Hennepin
,,,Child Care Center,Active,,Bloomington,MN,55420-2826,Hennepin
,,,Family Child Care,Active,,Bloomington,MN,55420-3036,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Bloomington,MN,55420-3628,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Minneapolis,MN,55420-3628,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Bloomington,MN,55420-3850,Hennepin
,,,Family Child Care,Active,,Bloomington,MN,55420-4729,Hennepin
,,,Home and Community Based Services,Active,,Bloomington,MN,55420-2747,Hennepin
,,,Family Child Care,Active,,Bloomington,MN,55420-1223,Hennepin
,,,Child Care Center,Active,,Bloomington,MN,55420-2237,Hennepin
,,,Intensive Residential Treatment Services and Residential Crisis Stabilization,Active,,Bloomington,MN,55420-2918,Hennepin
,,,Home and Community Based Services,Active,,Bloomington,MN,55420-5434,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Bloomington,MN,55420-5027,Hennepin
,,,Family Child Care,Active,,Bloomington,MN,55420-1213,Hennepin
,,,Child Foster Residence Setting,Active,,Bloomington,MN,55420-3854,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Bloomington,MN,55420-5336,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Bloomington,MN,55420-4543,Hennepin
,,,Home and Community Based Services,Active,,Columbia Heights,MN,55421-2953,Anoka
,,,Certified Child Care Center,Active,,Minneapolis,MN,55421-1939,Anoka
,,,Family Child Care,Active,,Columbia Heights,MN,55421-1845,Anoka
,,,Home and Community Based Services,Active,,Columbia Heights,MN,55421-2920,Anoka
,,,Home and Community Based Services,Active,,Columbia Heights,MN,55421-2901,Anoka
,,,Home and Community Based Services,Active,,Columbia Heights,MN,55421-0000,Anoka
,,,Adult Day Care Services,Active,,Minneapolis,MN,55421-3631,Hennepin
,,,Home and Community Based Services,Active,,Columbia Heights,MN,55421-2921,Anoka
,,,Adult Foster Care,Active,,Columbia Heights,MN,55421-3151,Anoka
,,,Home and Community Based Services,Active,,Columbia Heights,MN,55421-3611,Anoka
,,,Family Child Care,Active,,Columbia Heights,MN,55421-2454,Anoka
,,,Child Care Center,Active,,Minneapolis,MN,55421-3833,Anoka
,,,Child Care Center,Active,,Minneapolis,MN,55421-3851,Anoka
,,,Home and Community Based Services,Active,,SAINT ANTHONY,MN,55421-3424,Anoka
,,,Home and Community Based Services,Active,,Minneapolis,MN,55421-8901,Anoka
,,,Home and Community Based Services,Active,,Columbia Heights,MN,55421-3601,Anoka
,,,Home and Community Based Services,Active,,Columbia Heights,MN,55421-2859,Anoka
,,,Home and Community Based Services,Active,,Minneapolis,MN,55421-3424,Anoka
,,,Intensive Residential Treatment Services and Residential Crisis Stabilization,Active,,Fridley,MN,55421,Anoka
,,,Home and Community Based Services,Active,,Columbia Heights,MN,55421-3371,Anoka
,,,Family Child Care,Active,,Columbia Heights,MN,55421-3249,Anoka
,,,Child Care Center,Active,,Columbia Heights,MN,55421,Anoka
,,,Home and Community Based Services - Community Residential Setting,Active,,Columbia Heights,MN,55421-1753,Anoka
,,,Home and Community Based Services - Community Residential Setting,Active,,Minneapolis,MN,55421-4334,Ramsey
,,,Child Care Center,Active,,Columbia Heights,MN,55421-2929,Anoka
,,,Adult Day Care Services,Active,,Columbia Heights,MN,55421-2903,Anoka
,,,Child Care Center,Closed as of 10/11/2025,,Columbia Hts,MN,55421,Anoka
,,,Family Child Care,Active,,Columbia Heights,MN,55421-3258,Anoka
,,,Home and Community Based Services,Active,,Columbia Heights,MN,55421-2989,Anoka
,,,Family Child Care,Active,,Columbia Heights,MN,55421-3801,Anoka
,,,Adult Foster Care,Active,,Columbia Heights,MN,55421-1637,Anoka
,,,Child Foster Residence Setting,Active,,Columbia Heights,MN,55421-1604,Anoka
,,,Child Care Center,Active,,Minneapolis,MN,55421,Anoka
,,,Home and Community Based Services - Community Residential Setting,Active,,Columbia Heights,MN,55421-3232,Anoka
,,,Certified Child Care Center,Active,,Columbia Heights,MN,55421-1941,Anoka
,,,Certified Child Care Center,Active,,Columbia Heights,MN,55421-1708,Anoka
,,,Home and Community Based Services,Active,,Columbia Heights,MN,55421-2955,Anoka
,,,Family Child Care,Active,,Columbia Heights,MN,55421-4003,Anoka
,,,Family Child Care,Active,,Fridley,MN,55421-1863,Anoka
,,,Child Care Center,Active,,Fridley,MN,55421-1262,Anoka
,,,Family Child Care,Active,,Columbia Heights,MN,55421-2829,Anoka
,,,Home and Community Based Services,Active,,Columbia Heights,MN,55421-3159,Anoka
,,,Child Care Center,Active,,Minneapolis,MN,55421-1747,Anoka
,,,Home and Community Based Services - Community Residential Setting,Active,,Fridley,MN,55421-1146,Anoka
,,,Home and Community Based Services - Community Residential Setting,Active,,Columbia Heights,MN,55421-2475,Anoka
,,,Family Child Care,Active,,Columbia Heights,MN,55421-2935,Anoka
,,,Home and Community Based Services,Active,,Minneapolis,MN,55421-2955,Anoka
,,,Family Child Care,Active,,Columbia Heights,MN,55421-2019,Anoka
,,,Child Care Center,Active,,Columbia Heights,MN,55421-2925,Anoka
,,,Adult Foster Care,Active,,Columbia Heights,MN,55421-2258,Anoka
,,,Home and Community Based Services,Active,,Fridley,MN,55421-1522,Anoka
,,,Adult Day Care Services,Active,,Columbia Heights,MN,55421-3836,Anoka
,,,Home and Community Based Services - Community Residential Setting,Active,,Columbia Heights,MN,55421-4060,Anoka
,,,Home and Community Based Services,Active,,Minneapolis,MN,55421-3488,Anoka
,,,Home and Community Based Services - Community Residential Setting,Pending Reopening as of 08/07/2025,,Columbia Heights,MN,55421-4016,Anoka
,,,Family Child Care,Active,,Columbia Heights,MN,55421-1645,Anoka
,,,Home and Community Based Services,Active,,Minneapolis,MN,55421-3151,Anoka
,,,Intensive Residential Treatment Services and Residential Crisis Stabilization,Active,,Columbia Heights,MN,55421-3802,Anoka
,,,Family Child Care,Active,,Columbia Heights,MN,55421-1758,Anoka
,,,Family Child Care,Active,,Columbia Heights,MN,55421-2209,Anoka
,,,Family Child Care,Active,,Fridley,MN,55421-1155,Anoka
,,,Home and Community Based Services,Active,,SAINT ANTHONY,MN,55421-3488,Anoka
,,,Family Child Care,Active,,Columbia Heights,MN,55421-2229,Anoka
,,,Home and Community Based Services,Active,,Golden Valley,MN,55422-3944,Hennepin
,,,Home and Community Based Services,Active,,Golden Valley,MN,55422-4361,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Minneapolis,MN,55422-4101,Hennepin
,,,Home and Community Based Services - Residential Services Facility,Active,,Robbinsdale,MN,55422,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Golden Valley,MN,55422-0000,Hennepin
,,,Child Care Center,Closed as of 09/04/2025,,Minneapolis,MN,55422,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Golden Valley,MN,55422-4620,Hennepin
,,,Home and Community Based Services,Active,,Golden Valley,MN,55422-4327,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Golden Valley,MN,55422-2721,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Robbinsdale,MN,55422-1142,Hennepin
,,,Home and Community Based Services,Active,,Golden Valley,MN,55422-4509,Hennepin
,,,Home and Community Based Services,Active,,Golden Valley,MN,55422-4374,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55422-5124,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55422-5605,Hennepin
,,,Home and Community Based Services,Active,,Golden Valley,MN,55422-4397,Hennepin
,,,Family Child Care,Active,,Crystal,MN,55422-1105,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Crystal,MN,55422-0000,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55422-4353,Hennepin
,,,Child Foster Residence Setting,Active,,Brooklyn Park,MN,55422,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Robbinsdale,MN,55422-2912,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Robbinsdale,MN,55422-2908,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55422-4360,Hennepin
,,,Home and Community Based Services,Active,,Golden Valley,MN,55422,Hennepin
,,,Substance Use Disorder Treatment,Active,,Golden Valley,MN,55422-4805,Hennepin
,,,Family Child Care,Closed as of 08/22/2025,,Crystal,MN,55422-1264,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Robbinsdale,MN,55422-4110,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Robbinsdale,MN,55422-1572,Hennepin
,,,Child Care Center,Closed as of 12/20/2025,,Crystal,MN,55422,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55422-4374,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Crystal,MN,55422-1924,Hennepin
,,,Home and Community Based Services,Active,,Golden Valley,MN,55422-4535,Hennepin
,,,Home and Community Based Services - Residential Services Facility,Active,,Minneapolis,MN,55422-3648,Hennepin
,,,Family Child Care,Active,,Crystal,MN,55422-1015,Hennepin
,,,Home and Community Based Services,Active,,Crystal,MN,55422-1935,Hennepin
,,,Family Child Care,Active,,Robbinsdale,MN,55422-1567,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55422-5130,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Crystal,MN,55422-1639,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Crystal,MN,55422-2847,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Crystal,MN,55422-2841,Hennepin
,,,Certified Child Care Center,Pending Reopening as of 08/19/2023,,Golden Valley,MN,55422-5120,Hennepin
,,,Certified Child Care Center,Active,,Robbinsdale,MN,55422-1592,Hennepin
,,,Certified Child Care Center,Active,,Golden Valley,MN,55422-3607,Hennepin
,,,Home and Community Based Services,Active,,Golden Valley,MN,55422-4350,Hennepin
,,,Family Child Care,Active,,Robbinsdale,MN,55422-1729,Hennepin
,,,Certified Child Care Center,Active,,Minneapolis,MN,55422-5120,Hennepin
,,,Child Care Center,Active,,Robbinsdale,MN,55422-1619,Hennepin
,,,Child Care Center,Active,,Golden Valley,MN,55422-3927,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Crystal,MN,55422-1914,Hennepin
,,,Home and Community Based Services - Residential Services Facility,Active,,Robbinsdale,MN,55422-2207,Hennepin
,,,Home and Community Based Services - Residential Services Facility,Active,,Robbinsdale,MN,55422-3735,Hennepin
,,,Home and Community Based Services,Active,,Golden Valley,MN,55422-4367,Hennepin
,,,Child Care Center,Active,,Golden Valley,MN,55422-5070,Hennepin
,,,Home and Community Based Services,Active,,Golden Valley,MN,55422-4365,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Crystal,MN,55422-1025,Hennepin
,,,Home and Community Based Services,Active,,Golden Valley,MN,55422-4528,Hennepin
,,,Substance Use Disorder Treatment,Active,,Crystal,MN,55422-2402,Hennepin
,,,Home and Community Based Services,Active,,Golden Valley,MN,55422-4387,Hennepin
,,,Family Child Care,Active,,Crystal,MN,55422-1910,Hennepin
,,,Child Foster Residence Setting,Active,,Golden Valley,MN,55422-4163,Hennepin
,,,Family Child Care,Active,,Golden Valley,MN,55422-3318,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Minneapolis,MN,55422-2321,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Robbinsdale,MN,55422-2121,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Golden Valley,MN,55422-2746,Hennepin
,,,Family Child Care,Active,,Robbinsdale,MN,55422-1404,Hennepin
,,,Child Foster Residence Setting,Active,,Robbinsdale,MN,55422-3205,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Crystal,MN,55422-2876,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Golden Valley,MN,55422-2737,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Crystal,MN,55422-4123,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Golden Valley,MN,55422-3335,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Robbinsdale,MN,55422-2018,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Crystal,MN,55422-1018,Hennepin
,,,Child Care Center,Active,,Robbinsdale,MN,55422-2283,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Robbinsdale,MN,55422-0000,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Robbinsdale,MN,55422-2059,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Crystal,MN,55422-2845,Hennepin
,,,Family Child Care,Active,,Robbinsdale,MN,55422-2147,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55422-4344,Hennepin
,,,Intensive Residential Treatment Services and Residential Crisis Stabilization,Active,,Robbinsdale,MN,55422-2336,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Crystal,MN,55422-1030,Hennepin
,,,Family Child Care,Active,,Golden Valley,MN,55422-3564,Hennepin
,,,Family Child Care,Active,,Robbinsdale,MN,55422-3104,Hennepin
,,,Family Child Care,Active,,Robbinsdale,MN,55422-1252,Hennepin
,,,Home and Community Based Services,Active,,Richfield,MN,55423-2784,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Richfield,MN,55423-2420,Hennepin
,,,Child Care Center,Active,,Richfield,MN,55423,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Richfield,MN,55423-1024,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Richfield,MN,55423-1225,Hennepin
,,,Child Care Center,Closed as of 08/23/2025,,Richfield,MN,55423-3448,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Richfield,MN,55423-2909,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Richfield,MN,55423-2020,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Richfield,MN,55423-1927,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Richfield,MN,55423-3206,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Richfield,MN,55423-3445,Hennepin
,,,Family Child Care,Active,,Richfield,MN,55423-2097,Hennepin
,,,Child Care Center,Active,,Richfield,MN,55423-2638,Hennepin
,,,Family Child Care,Active,,Richfield,MN,55423-1106,Hennepin
,,,Family Child Care,Active,,Richfield,MN,55423-2052,Hennepin
,,,Child Care Center,Active,,Richfield,MN,55423-3629,Hennepin
,,,Family Child Care,Active,,Richfield,MN,55423-4451,Hennepin
,,,Family Child Care,Active,,Richfield,MN,55423-3345,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Richfield,MN,55423-2908,Hennepin
,,,Family Child Care,Active,,Richfield,MN,55423-3318,Hennepin
,,,Child Foster Residence Setting,Active,,Richfield,MN,55423-2457,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Richfield,MN,55423-4627,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Richfield,MN,55423-3052,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Richfield,MN,55423-2214,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Richfield,MN,55423-0000,Hennepin
,,,Adult Foster Care,Active,,Richfield,MN,55423-3559,Hennepin
,,,Family Child Care,Active,,Richfield,MN,55423-2326,Hennepin
,,,Family Child Care,Active,,Richfield,MN,55423-2533,Hennepin
,,,Family Child Care,Active,,Richfield,MN,55423-2104,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55423-1001,Hennepin
,,,Child Care Center,Active,,Richfield,MN,55423-1099,Hennepin
,,,Family Child Care,Active,,Richfield,MN,55423-3225,Hennepin
,,,Home and Community Based Services,Active,,Richfield,MN,55423-4055,Hennepin
,,,Child Care Center,Active,,Richfield,MN,55423-1939,Hennepin
,,,Family Child Care,Active,,Richfield,MN,55423-2125,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Richfield,MN,55423-3054,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Richfield,MN,55423-3944,Hennepin
,,,Family Child Care,Active,,Richfield,MN,55423-3528,Hennepin
,,,Home and Community Based Services,Active,,Richfield,MN,55423-2719,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Minneapolis,MN,55423-3919,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Richfield,MN,55423-4445,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Minneapolis,MN,55423-4328,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Richfield,MN,55423-4572,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Richfield,MN,55423-4032,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Revoked as of 10/16/2025,,Richfield,MN,55423-1771,Hennepin
,,,Home and Community Based Services,Active,,Richfield,MN,55423-4647,Hennepin
,,,Family Child Care,Active,,Richfield,MN,55423-2727,Hennepin
,,,Home and Community Based Services,Active,,Richfield,MN,55423-1216,Hennepin
,,,Child Care Center,Active,,Richfield,MN,55423-1140,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55423-1751,Hennepin
,,,Child Foster Residence Setting,Active,,Richfield,MN,55423-2301,Hennepin
,,,Home and Community Based Services,Active,,Richfield,MN,55423-1613,Hennepin
,,,Child Caring-Placing Agency,Active,,Minneapolis,MN,55423-1616,Hennepin
,,,Child Care Center,Active,,Richfield,MN,55423-3069,Hennepin
,,,Family Child Care,Active,,Richfield,MN,55423-2471,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Minneapolis,MN,55423-3323,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Richfield,MN,55423-1339,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Richfield,MN,55423-3314,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Richfield,MN,55423-3338,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Richfield,MN,55423-3349,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Richfield,MN,55423-2356,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Richfield,MN,55423-2239,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Richfield,MN,55423-2133,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Richfield,MN,55423-3514,Hennepin
,,,Family Child Care,Active,,Richfield,MN,55423-2528,Hennepin
,,,Home and Community Based Services,Active,,Richfield,MN,55423-3347,Hennepin
,,,Home and Community Based Services,Active,,Richfield,MN,55423-4325,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Richfield,MN,55423-4567,Hennepin
,,,Child Care Center,Active,,Richfield,MN,55423-6401,Hennepin
,,,Child Care Center,Active,,Richfield,MN,55423-2408,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Minneapolis,MN,55423-4606,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Minneapolis,MN,55423-3340,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Richfield,MN,55423-4123,Hennepin
,,,Child Care Center,Active,,Richfield,MN,55423-1010,Hennepin
,,,Child Care Center,Active,,Richfield,MN,55423-3337,Hennepin
,,,Child Care Center,Active,,Richfield,MN,55423-3354,Hennepin
,,,Family Child Care,Active,,Richfield,MN,55423-2215,Hennepin
,,,Child Care Center,Active,,Richfield,MN,55423-3071,Hennepin
,,,Home and Community Based Services,Active,,Richfield,MN,55423-3051,Hennepin
,,,Home and Community Based Services,Active,,Richfield,MN,55423-2488,Hennepin
,,,Family Child Care,Active,,Richfield,MN,55423-4462,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Richfield,MN,55423-1014,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Richfield,MN,55423-2863,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Richfield,MN,55423-3544,Hennepin
,,,Mental Health Clinic,Active,,Minneapolis,MN,55423-1675,Hennepin
,,,Child Care Center,Active,,Richfield,MN,55423-1038,Hennepin
,,,Certified Child Care Center,Active,,Edina,MN,55424-2400,Hennepin
,,,Certified Child Care Center,Active,,Edina,MN,55424-1713,Hennepin
,,,Home and Community Based Services,Active,,Edina,MN,55424-1300,Hennepin
,,,Child Care Center,Active,,Edina,MN,55424-1432,Hennepin
,,,Child Care Center,Active,,Edina,MN,55424,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Edina,MN,55424-4123,Hennepin
,,,Child Foster Residence Setting,Denied as of 02/21/2025,,Edina,MN,55424-1841,Hennepin
,,,Child Care Center,Active,,Edina,MN,55424-1617,Hennepin
,,,Family Child Care,Active,,Edina,MN,55424-1936,Hennepin
,,,Home and Community Based Services,Active,,Bloomington,MN,55425-1509,Hennepin
,,,Home and Community Based Services,Active,,Bloomington,MN,55425-1523,Hennepin
,,,Home and Community Based Services,Active,,Bloomington,MN,55425-1215,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Bloomington,MN,55425-2212,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55425-4503,Hennepin
,,,Substance Use Disorder Treatment,Active,,Bloomington,MN,55425-1205,Hennepin
,,,Home and Community Based Services,Active,,Bloomington,MN,55425-1562,Hennepin
,,,Family Child Care,Active,,Bloomington,MN,55425-2170,Hennepin
,,,Home and Community Based Services,Active,,Bloomington,MN,55425-1514,Hennepin
,,,Family Child Care,Active,,Bloomington,MN,55425,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Bloomington,MN,55425-2225,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Bloomington,MN,55425-1109,Hennepin
,,,Home and Community Based Services,Active,,Bloomington,MN,55425-1506,Hennepin
,,,Home and Community Based Services,Active,,Bloomington,MN,55425-1389,Hennepin
,,,Adult Day Care Services,Active,,Bloomington,MN,55425-1152,Hennepin
,,,Home and Community Based Services,Active,,Bloomington,MN,55425-1381,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Bloomington,MN,55425-0000,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Bloomington,MN,55425-2546,Hennepin
,,,Home and Community Based Services,Active,,Bloomington,MN,55425-1539,Hennepin
